time (epoch),Bx (uT),By (uT),Bz (uT),dBx (uT),dBy (uT),dBz (uT),pos (cm)
1761345658.1729531,-0.03890000000000171,0.08799999999999808,2.1987,0.823,0.992,0.774,91
1761345666.5800114,-0.18890000000000295,0.043999999999998485,2.3217000000000008,0.853,0.984,0.811,90
1761345673.340802,-0.13190000000000257,0.033999999999998476,2.3967000000000005,0.8440000000000001,0.983,0.8260000000000001,89
1761345680.2229166,-0.19390000000000018,0.1609999999999978,2.364700000000001,0.856,1.001,0.8210000000000001,88
1761345687.432974,-0.16890000000000072,0.16899999999999804,2.6077000000000004,0.853,1.001,0.836,87
1761345695.3598182,-0.19989999999999952,0.18699999999999828,2.714700000000001,0.857,1.002,0.8200000000000001,86
1761345702.6200736,-0.13889999999999958,0.1859999999999984,2.8346999999999998,0.8450000000000001,1.004,0.786,85
1761345711.6916478,-0.19589999999999996,0.13799999999999812,3.0447,0.856,0.998,0.6759999999999999,84
1761345718.8643484,-0.15390000000000015,0.21299999999999764,3.1367000000000003,0.852,1.004,0.609,83
1761345726.184137,-0.17590000000000217,0.22199999999999775,3.1697000000000006,0.8540000000000001,1.0050000000000001,0.594,82
1761345735.1821003,-0.2519000000000027,0.16699999999999826,3.2786999999999997,0.868,0.998,0.655,81
1761345740.5614915,-0.24189999999999934,0.25399999999999867,3.522700000000001,0.863,1.006,0.858,80
1761345750.3338652,-0.14890000000000292,0.2949999999999986,4.088700000000001,0.8500000000000001,1.006,1.014,79
1761345756.9649916,-0.21689999999999987,0.2719999999999978,4.3727,0.8640000000000001,1.008,0.963,78
1761345764.2030463,-0.19090000000000273,0.28699999999999837,4.6777,0.858,1.007,0.795,77
1761345772.6274178,-0.08890000000000065,0.32099999999999795,4.9567000000000005,0.8400000000000001,1.007,0.45499999999999996,76
1761345781.0527658,-0.18690000000000317,0.38699999999999846,5.0207,0.8550000000000001,1.016,0.38899999999999996,75
1761345787.8903997,-0.19390000000000018,0.4369999999999985,5.144700000000001,0.857,1.016,0.45499999999999996,74
1761345796.1446805,-0.17490000000000006,0.4339999999999977,5.2937,0.8540000000000001,1.011,0.605,73
1761345803.3040738,-0.18489999999999895,0.49799999999999844,5.598700000000001,0.856,1.025,0.785,72
1761345810.954006,-0.22190000000000154,0.5689999999999984,5.7887,0.8599999999999999,1.017,0.8300000000000001,71
1761345818.1895611,-0.27490000000000236,0.5739999999999978,6.226700000000001,0.871,1.018,0.7829999999999999,70
1761345826.2943854,-0.3149000000000024,0.7099999999999984,6.4107,0.873,1.036,0.731,69
1761345834.7149186,-0.30890000000000306,0.6949999999999978,6.6957,0.872,1.031,0.8150000000000001,68
1761345842.3436458,-0.3509000000000029,0.9579999999999977,7.0487,0.871,1.026,0.9760000000000001,67
1761345850.2522333,-0.37590000000000234,1.0409999999999986,7.825700000000001,0.882,1.025,0.931,66
1761345856.77527,-0.546899999999999,1.2139999999999984,8.248700000000001,0.893,1.007,0.66,65
1761345863.4248588,-0.7238999999999995,1.1719999999999986,9.066699999999999,0.8840000000000001,1.006,0.906,64
1761345872.9447763,-0.8449000000000018,1.6899999999999982,9.8547,0.875,0.9470000000000001,0.606,63
1761345880.8657055,-1.110899999999999,1.8549999999999978,11.026700000000002,0.842,0.921,0.959,62
1761345887.7495773,-1.2299000000000015,2.4609999999999976,12.3967,0.837,0.777,0.903,61
1761345893.8393238,-1.9029000000000007,3.2819999999999983,13.667700000000004,0.908,0.944,0.949,60
1761345901.779956,-2.1568999999999994,3.907999999999998,16.1557,0.887,0.938,0.817,59
1761345909.1044047,-2.339899999999999,3.7719999999999985,18.7817,0.828,0.97,0.735,58
1761345916.3264782,-2.6119000000000003,4.6949999999999985,21.518699999999995,0.74,0.79,0.666,57
1761345923.210585,-2.9829000000000017,6.042999999999998,23.8307,0.776,0.593,0.993,56
1761345929.740449,-2.483900000000001,8.338,26.3057,0.7879999999999999,0.765,0.727,55
1761345999.4038515,-3.309899999999999,8.705999999999998,29.939700000000002,0.877,0.859,0.6579999999999999,54
1761346007.791979,-3.894899999999999,9.160999999999998,32.740700000000004,0.866,0.621,0.813,53
1761346013.998801,-3.8259,10.481999999999998,35.0737,0.891,0.8160000000000001,0.475,52
